ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,CO,COCHETOPA PASS,1059,2004-September,38.16,-106.6,10020,Saguache,Luders Creek (130100040203)
SNTL,CO,COLUMBINE,408,1978-October,40.39,-106.6,9160,Jackson,Upper Grizzly Creek (101800010102)
SNTL,CO,COLUMBINE PASS,409,1985-October,38.42,-108.38,9400,Montrose,Potter Creek (140200050202)
SNTL,CO,COLUMBUS BASIN,904,1994-August,37.44,-108.02,10785,La Plata,Headwaters La Plata River (140801050101)
SNTL,CO,COPELAND LAKE,412,1979-October,40.21,-105.57,8600,Boulder,Headwaters North Saint Vrain Creek (101900050202)
SNTL,CO,COPPER MOUNTAIN,415,1978-October,39.49,-106.17,10550,Summit,West Tenmile Creek (140100020302)
SNTL,CO,CROSHO,426,1985-October,40.17,-107.06,9100,Rio Blanco,Outlet Hunt Creek (140500010106)
SNTL,CO,CULEBRA #2,430,1978-October,37.21,-105.2,10500,Costilla,Headwaters Culebra Creek (130100020902)
SNTL,CO,CUMBRES TRESTLE,431,1979-October,37.02,-106.45,10040,Conejos,Wolf Creek (130201020203)
SNTL,CO,DEADMAN HILL,438,1978-October,40.81,-105.77,10220,Larimer,Lower Dale Creek (101900070502)
SNTL,CO,DRY LAKE,457,1979-October,40.53,-106.78,8400,Routt,City of Steamboat Springs-Yampa River (140500010409)
SNTL,CO,ECHO LAKE,936,1998-August,39.66,-105.59,10600,Clear Creek,Vance Creek (101900020801)
SNTL,CO,EL DIENTE PEAK,465,1985-October,37.79,-108.02,10000,Dolores,Cayton Valley-Dolores River (140300020202)
SNTL,CO,ELK RIVER,467,1978-October,40.85,-106.97,8700,Routt,Steamboat Lake (140500010206)
SNTL,CO,ELKHEAD DIVIDE,1252,2016-September,40.8,-107.1,8780,Routt,Headwaters Elkhead Creek (140500010601)
SNTL,CO,ELLIOT RIDGE,1120,2009-August,39.86,-106.42,10520,Summit,Deep Creek-Blue River (140100020602)
SNTL,CO,FOOL CREEK,1186,2011-July,39.87,-105.87,11150,Grand,Saint Louis Creek (140100010203)
SNTL,CO,FREMONT PASS,485,1979-October,39.38,-106.2,11400,Summit,Upper Tenmile Creek (140100020301)
SNTL,CO,GLEN COVE,1057,2004-August,38.88,-105.07,11460,Teller,Headwaters Fountain Creek (110200030201)
SNTL,CO,GRAYBACK,1058,2004-September,37.47,-106.54,11620,Rio Grande,East Fork Pinos Creek (130100020101)
SNTL,CO,GRIZZLY PEAK,505,1979-October,39.65,-105.87,11100,Summit,North Fork Snake River (140100020201)
SNTL,CO,HAYDEN PASS,1102,2007-August,38.29,-105.85,10720,Saguache,Piney Creek-San Luis Creek (130100030301)
SNTL,CO,HIGH LONESOME,1187,2011-July,40.04,-105.75,10620,Grand,Meadows Creek-Ranch Creek (140100010205)
SNTL,CO,HOOSIER PASS,531,1979-October,39.36,-106.06,11400,Summit,Headwaters Blue River (140100020101)
SNTL,CO,HOURGLASS LAKE,1122,2008-October,40.58,-105.63,9380,Larimer,Beaver Creek (101900070101)
SNTL,CO,IDARADO,538,1979-October,37.93,-107.68,9800,Ouray,Red Mountain Creek (140200060201)
SNTL,CO,INDEPENDENCE PASS,542,1979-October,39.08,-106.61,10600,Pitkin,Lincoln Creek (140100040101)
SNTL,CO,IVANHOE,547,1991-October,39.29,-106.55,10400,Pitkin,Headwaters Fryingpan River (140100040501)
SNTL,CO,JACKWHACKER GULCH,935,1998-August,39.57,-105.8,10960,Clear Creek,Geneva Creek (101900020201)
SNTL,CO,JOE WRIGHT,551,1978-October,40.53,-105.89,10120,Larimer,Joe Wright Creek (101900070204)
SNTL,CO,JONES PASS,970,1999-September,39.76,-105.91,10400,Grand,Headwaters Williams Fork (140100010402)
SNTL,CO,KILN,556,1979-October,39.32,-106.61,9600,Pitkin,Deeds Creek-Fryingpan River (140100040504)
SNTL,CO,LAKE ELDORA,564,1978-October,39.94,-105.59,9700,Gilpin,Middle Boulder Creek (101900050402)
SNTL,CO,LAKE IRENE,565,1978-October,40.41,-105.82,10700,Grand,Headwaters Colorado River (140100010302)
SNTL,CO,LILY POND,580,1979-October,37.38,-106.55,11000,Conejos,Headwaters Alamosa River (130100020302)
SNTL,CO,LIZARD HEAD PASS,586,1979-October,37.8,-107.92,10200,Dolores,Headwaters Dolores River (140300020201)
SNTL,CO,LONE CONE,589,1979-October,37.89,-108.2,9600,San Miguel,Headwaters Beaver Creek (140300030302)
SNTL,CO,LONG DRAW RESV,1123,2008-October,40.51,-105.77,9980,Larimer,La Poudre Pass Creek (101900070203)
SNTL,CO,LOST DOG,940,1998-August,40.82,-106.75,9320,Routt,Outlet North Fork Elk Creek (140500010203)
SNTL,CO,LOVELAND BASIN,602,1991-October,39.67,-105.9,11400,Clear Creek,Headwaters Clear Creek (101900040102)
SNTL,CO,LYNX PASS,607,1979-October,40.08,-106.67,8880,Routt,Headwaters Rock Creek (140100011001)
SNTL,CO,MANCOS,905,1994-August,37.43,-108.17,10000,Montezuma,West Mancos River (140801070102)
SNTL,CO,MC CLURE PASS,618,1979-October,39.13,-107.29,9500,Pitkin,Lee Creek (140200040203)
SNTL,CO,MCCOY PARK,1040,2002-October,39.6,-106.54,9480,Eagle,June Creek-Eagle River (140100030302)
SNTL,CO,MEDANO PASS,914,1995-October,37.85,-105.44,9649,Saguache,Medano Creek (130100030604)
SNTL,CO,MESA LAKES,622,1985-October,39.06,-108.06,10000,Mesa,Coon Creek (140100051307)
SNTL,CO,MICHIGAN CREEK,937,1998-August,39.44,-105.91,10600,Park,Michigan Creek (101900010404)
SNTL,CO,MIDDLE CREEK,624,1979-October,37.62,-107.03,11250,Mineral,Headwaters Red Mountain Creek (130100010501)
SNTL,CO,MIDDLE FORK CAMP,1014,2001-September,39.8,-106.03,8940,Grand,Headwaters Williams Fork (140100010402)
SNTL,CO,MINERAL CREEK,629,1978-October,37.85,-107.73,10040,San Juan,Mineral Creek (140801040103)
SNTL,CO,MOLAS LAKE,632,1985-October,37.75,-107.69,10500,San Juan,Tenmile Creek-Animas River (140801040302)
SNTL,CO,MOON PASS,1124,2008-October,37.97,-106.56,11140,Saguache,California Gulch (130100040201)
SNTL,CO,NAST LAKE,658,1985-October,39.3,-106.61,8700,Pitkin,Deeds Creek-Fryingpan River (140100040504)
SNTL,CO,NEVER SUMMER,1031,2002-September,40.4,-105.96,10280,Jackson,Jack Creek (101800010401)
SNTL,CO,NIWOT,663,1979-October,40.04,-105.54,9910,Boulder,North Boulder Creek (101900050401)
SNTL,CO,NORTH LOST TRAIL,669,1984-October,39.08,-107.14,9200,Gunnison,Yule Creek-Crystal River (140100040703)
SNTL,CO,OVERLAND RES.,675,1988-October,39.09,-107.63,9840,Delta,Cow Creek (140200040101)
SNTL,CO,PARK CONE,680,1979-October,38.82,-106.59,9600,Gunnison,Taylor Park Reservoir (140200010107)
SNTL,CO,PARK RESERVOIR,682,1978-October,39.05,-107.87,9960,Delta,Surface Creek (140200050111)
SNTL,CO,PHANTOM VALLEY,688,1979-October,40.4,-105.85,9030,Grand,Headwaters Colorado River (140100010302)
SNTL,CO,PORPHYRY CREEK,701,1978-October,38.49,-106.34,10760,Gunnison,Porphyry Creek-Tomichi Creek (140200030105)
SNTL,CO,RABBIT EARS,709,1985-October,40.37,-106.74,9400,Routt,Harrison Creek (140500010402)
SNTL,CO,RAWAH,1032,2002-September,40.71,-106.01,9020,Jackson,Middle Canadian River (101800010603)
SNTL,CO,RED MOUNTAIN PASS,713,1979-October,37.89,-107.71,11200,San Juan,Mineral Creek (140801040103)
